Index,Title,Date,URL
요양병원,대구 첨단요양병원 간호사 2명 간호협회 공모전 수상,2024-12-26,http://www.mediwelfare.com/news/articleView.html?idxno=4112
요양병원,"""요양병원 벤치마킹 통해 경쟁력 높이고 상생""",2024-12-26,http://www.mediwelfare.com/news/articleView.html?idxno=4111
요양병원,"적자 허덕이는 요양병원, 수가구조가 문제",2024-12-24,http://www.mediwelfare.com/news/articleView.html?idxno=4110
요양병원,"절체절명 요양병원, 경영·진료 노하우 공유해 살길 찾자",2024-12-23,http://www.mediwelfare.com/news/articleView.html?idxno=4105
정책,레지던트 1년차 확보율 5%…의료대란 심각,2024-12-23,http://www.mediwelfare.com/news/articleView.html?idxno=4108
정책,"질병청, 전국에 인플루엔자 유행주의보 발령",2024-12-20,http://www.mediwelfare.com/news/articleView.html?idxno=4107
산업,"""요양병원, 미세먼지 차단 방진 방충망 필요하다""",2024-12-19,http://www.mediwelfare.com/news/articleView.html?idxno=4106
머니 인포,2025년도 요양병원 식대 및 가산수가,2024-12-18,http://www.mediwelfare.com/news/articleView.html?idxno=4104
정책,"내년 요양병원 일반식 식대 5,030원 찔끔 인상",2024-12-18,http://www.mediwelfare.com/news/articleView.html?idxno=4103
정책,코로나·호흡기바이러스 감시 요양병원 모집,2024-12-17,http://www.mediwelfare.com/news/articleView.html?idxno=4102
정책,혈액 안묻은 체액·분비물·객담도 의료폐기물,2024-12-16,http://www.mediwelfare.com/news/articleView.html?idxno=4101
정책,"요양병원 서울·경기 큰폭 줄고, 광주는 증가",2024-12-13,http://www.mediwelfare.com/news/articleView.html?idxno=4100
요양병원,"대전·충남 병원행정관리자협회장, 브레인요양병원 조희진",2024-12-12,http://www.mediwelfare.com/news/articleView.html?idxno=4099
의료계,"의사 70% ""행위별수가가 의료기관에 적합""",2024-12-12,http://www.mediwelfare.com/news/articleView.html?idxno=4098
요양병원,고창노인요양병원 공공보건의료계획 평가 최우수기관,2024-12-11,http://www.mediwelfare.com/news/articleView.html?idxno=4097
요양병원,효사랑전주요양병원 박진상 병원장 '전북 인물대상' 수상,2024-12-11,http://www.mediwelfare.com/news/articleView.html?idxno=4096
정책,내년 요양병원 간병 시범사업 예산 61억 확정,2024-12-11,http://www.mediwelfare.com/news/articleView.html?idxno=4095
정책,내년도 신규 레지던트‧전문의 인력난 심각,2024-12-10,http://www.mediwelfare.com/news/articleView.html?idxno=4094
머니 인포,2025년도 요양병원 상대가치점수 당 단가,2024-12-09,http://www.mediwelfare.com/news/articleView.html?idxno=4093
산업,누락청구 컨설팅하면 진료비 적정화 컨설팅 '무료',2024-12-09,http://www.mediwelfare.com/news/articleView.html?idxno=4091
정책,"의료인 없는 요양원, 요양병원 수가 크게 추월",2024-12-09,http://www.mediwelfare.com/news/articleView.html?idxno=4090
정책,의료·돌봄 통합지원 기술지원 시범사업 확대,2024-12-06,http://www.mediwelfare.com/news/articleView.html?idxno=4089
산업,"메디공구, 요양병원 관련 도서 판매 시작",2024-12-05,http://www.mediwelfare.com/news/articleView.html?idxno=4088
정책,"질병청, 요양병원 코로나19 예방접종 독려",2024-12-05,http://www.mediwelfare.com/news/articleView.html?idxno=4087
산업,"미세먼지 차단, 통기성 좋은 방진망 요양병원 저가 공급",2024-12-04,http://www.mediwelfare.com/news/articleView.html?idxno=4086
정책,간병서비스 병원 관리·감독이 우려되는 이유,2024-12-04,http://www.mediwelfare.com/news/articleView.html?idxno=4085
정책,병원급 의료기관 간병서비스 관리·감독 의무화,2024-12-03,http://www.mediwelfare.com/news/articleView.html?idxno=4084
요양병원,요양병원 환자 골절사고 어떻게 줄일 것인가,2024-12-02,http://www.mediwelfare.com/news/articleView.html?idxno=4079
정책,"급성기병원은 고성장, 요양병원은 저성장",2024-11-29,http://www.mediwelfare.com/news/articleView.html?idxno=4078
요양병원,내달 요양병원 사회복지사 연수교육,2024-11-28,http://www.mediwelfare.com/news/articleView.html?idxno=4077
요양병원,화재 취약 뭇매 맞던 요양병원 이젠 모범 찬사,2024-11-28,http://www.mediwelfare.com/news/articleView.html?idxno=4076
정책,요양병원 대상 KONIS 참여기관 추가 모집,2024-11-27,http://www.mediwelfare.com/news/articleView.html?idxno=4075
요양병원,전북 도내 요양병원 감염관리 세미나 개최,2024-11-26,http://www.mediwelfare.com/news/articleView.html?idxno=4074
정책,"요양병원 폐렴, 패혈증 적극적 검사‧치료 필요",2024-11-26,http://www.mediwelfare.com/news/articleView.html?idxno=4073
정책,"여야의정협의체, 내년 의대 증원 놓고 평행선",2024-11-25,http://www.mediwelfare.com/news/articleView.html?idxno=4072
요양병원,"""요양병원 의료기능 강화, 중증화 해야 생존""",2024-11-22,http://www.mediwelfare.com/news/articleView.html?idxno=4071
요양병원,웰다잉 교과서 같은 요양병원…씁쓸한 현실도,2024-11-21,http://www.mediwelfare.com/news/articleView.html?idxno=4070
정책,"요양병원협회, 코로나19 백신 공동구매 시행",2024-11-20,http://www.mediwelfare.com/news/articleView.html?idxno=4069
정책,통증치료 내걸고 보험금 편취한 요양병원,2024-11-19,http://www.mediwelfare.com/news/articleView.html?idxno=4068
요양병원,같은 환자-다른 수익 '환자평가표'가 결정한다,2024-11-18,http://www.mediwelfare.com/news/articleView.html?idxno=4066
요양병원,"김해한솔재활요양병원, 개원 24주년 기념식",2024-11-15,http://www.mediwelfare.com/news/articleView.html?idxno=4065
정책,"공단 ""사무장병원 단속 특사경 부여 시급""",2024-11-15,http://www.mediwelfare.com/news/articleView.html?idxno=4064
요양병원,"경산 영남요양병원, 소외된 이웃 위해 쌀 기탁",2024-11-14,http://www.mediwelfare.com/news/articleView.html?idxno=4063
정책,경기도 차원 외국인간병인 운영 조례 추진,2024-11-14,http://www.mediwelfare.com/news/articleView.html?idxno=4062
요양병원,요양병원협회-KAIST 헬스사이언스연구소 협약,2024-11-13,http://www.mediwelfare.com/news/articleView.html?idxno=4061
정책,"의사등급 속인 요양병원, 조사해보니 사무장",2024-11-13,http://www.mediwelfare.com/news/articleView.html?idxno=4060
정책,내년 장기요양 재택의료센터 시범사업 확대,2024-11-12,http://www.mediwelfare.com/news/articleView.html?idxno=4059
정책,의료고도 간병비 '180일 지원 시한' 잠정 연장,2024-11-11,http://www.mediwelfare.com/news/articleView.html?idxno=4058
요양병원,요양병원의 생존 전략: 비용절감을 넘어 수익 창출로,2024-11-08,http://www.mediwelfare.com/news/articleView.html?idxno=4056
정책,"정부, 요양병원 코로나 예방접종 연일 독려",2024-11-08,http://www.mediwelfare.com/news/articleView.html?idxno=4055
요양병원,고창노인요양병원-전북광역치매센터 MOU 체결,2024-11-08,http://www.mediwelfare.com/news/articleView.html?idxno=4057
정책,"질병청장 ""요양병원 코로나 예방접종 독려""",2024-11-07,http://www.mediwelfare.com/news/articleView.html?idxno=4054
정책,'의료-요양 통합판정' 뭐가 문제냐는 건보공단,2024-11-06,http://www.mediwelfare.com/news/articleView.html?idxno=4053
정책,"""간병비 연장 안되면 시범사업 반납 고민""",2024-11-05,http://www.mediwelfare.com/news/articleView.html?idxno=4052
요양병원,"가족사랑요양병원 표현인 원장, 인증원장 표창",2024-11-04,http://www.mediwelfare.com/news/articleView.html?idxno=4051
정책,요양병원 환자 낙상 사망…당직 의료인 무죄,2024-11-04,http://www.mediwelfare.com/news/articleView.html?idxno=4049
정책,요양병원만 속 터지는 외국인 간병인력 도입,2024-11-01,http://www.mediwelfare.com/news/articleView.html?idxno=4047
정책,갈길 먼 요양병원 간병 급여화…국회 토론회,2024-10-31,http://www.mediwelfare.com/news/articleView.html?idxno=4046
정책,"요양병원 7만 2,780원, 요양시설 9만 450원",2024-10-30,http://www.mediwelfare.com/news/articleView.html?idxno=4045
산업,"메디공구, 심평원 출신 '요양병원 컨설팅' 서비스 출시",2024-10-29,http://www.mediwelfare.com/news/articleView.html?idxno=4044
요양병원,"전주 효사랑가족요양병원, 환자안전 캠페인",2024-10-29,http://www.mediwelfare.com/news/articleView.html?idxno=4043
정책,"경기도의회, 31일 외국인 간병인 도입 토론회",2024-10-29,http://www.mediwelfare.com/news/articleView.html?idxno=4042
요양병원,"김해한솔재활요양병원, 일학습병행 모법학습기업 선정",2024-10-28,http://www.mediwelfare.com/news/articleView.html?idxno=4041
정책,코로나 치료제 건보 적용…병원 직접 약 구매,2024-10-28,http://www.mediwelfare.com/news/articleView.html?idxno=4040
정책,100병상 이상 요양병원 격리병실 설치 철회,2024-10-25,http://www.mediwelfare.com/news/articleView.html?idxno=4039
요양병원,"웰시티요양병원 재활로봇 5종 도입 ""단계별 훈련 접목""",2024-10-24,http://www.mediwelfare.com/news/articleView.html?idxno=4037
정책,의료대란 여파 요양병원 초진환자 11% 감소,2024-10-24,http://www.mediwelfare.com/news/articleView.html?idxno=4036
요양병원,요양병원 수가 개정 어떻게 대응할 것인가?,2024-10-23,http://www.mediwelfare.com/news/articleView.html?idxno=4035
정책,"요양병원 CRE 심각? ""수가부터 개선하라!""",2024-10-22,http://www.mediwelfare.com/news/articleView.html?idxno=4034
