Index,Title,Date,Detail URL
45,환자안전활동 우수사례 공유 ⑥편 ‘자기공명영상(MRI) 검사 중 환자안전사고 예방’ NEW,2024.12.12,https://www.kops.or.kr/portal/ifm/infoProvdStdrList.do
44,환자안전활동 우수사례 공유 ⑤편 '수술실 환자안전 문화 개선',2024.11.19,https://www.kops.or.kr/portal/ifm/infoProvdStdrList.do
43,흡입용 의약품 공급 중단으로 투약 오류 주의 필요,2024.10.23,https://www.kops.or.kr/portal/ifm/infoProvdStdrList.do
42,환자안전활동 우수사례 공유 ④편 '욕창 예방 및 지속 가능한 욕창 관리',2024.09.11,https://www.kops.or.kr/portal/ifm/infoProvdStdrList.do
41,안전한 진단을 위한 전략 '다같이해서 더가치있는 소통',2024.08.22,https://www.kops.or.kr/portal/ifm/infoProvdStdrList.do
40,환자안전활동 우수사례 공유 ③편 '자살·자해 예방을 위한 관리 체계 구축',2024.07.02,https://www.kops.or.kr/portal/ifm/infoProvdStdrList.do
39,환자안전활동 우수사례 공유 ②편 ‘연하곤란 환자를 위한 기도흡인 예방’,2024.05.28,https://www.kops.or.kr/portal/ifm/infoProvdStdrList.do
38,환자안전활동 우수사례 공유 ①편 '염화칼륨(KCl) 투약 오류 예방',2024.04.23,https://www.kops.or.kr/portal/ifm/infoProvdStdrList.do
37,"환자와 우리 모두의 안전을 위하여 '확인하고, 자제하고, 지켜주세요'",2023.06.22,https://www.kops.or.kr/portal/ifm/infoProvdStdrList.do
36,의료기관 내 화재 발생 시 대응 안내,2023.03.30,https://www.kops.or.kr/portal/ifm/infoProvdStdrList.do
35,수술 안전 체크리스트 활용 우수사례,2023.01.31,https://www.kops.or.kr/portal/ifm/infoProvdStdrList.do
