Index,Title,Date,URL
72,성남시소아청소년정신건강복지센터 직원 채용 공고,2024.12.05,https://www.kpmhna.or.kr/sub6/6_1.php?mode=view&number=11576&b_name=data_board_2
71,"(석사학위논문)정신건강복지센터에 근무하는 정신건강간호사의 메타정서, 잡크래프팅, 사회환경 통제감이 전문직 삶의 질에 미치는 영향 요인",2024.08.19,https://www.kpmhna.or.kr/sub6/6_1.php?mode=view&number=11283&b_name=data_board_2
70,정신과 간호사님께 질문 드려요 스트레스와 도파민 사이의 관계에 대한 뇌과학적 지식과 스트레스에 민감한 환자 케어 방법이 궁금합니다.,2024.08.15,https://www.kpmhna.or.kr/sub6/6_1.php?mode=view&number=11279&b_name=data_board_2
69,[제24회 한국중독행동연구회(KRSAB) & 한국정신건강의과학연구회 세미나 및 대한신경정신의학회 부산지부학회 심포지엄] 개최 안내,2024.07.29,https://www.kpmhna.or.kr/sub6/6_1.php?mode=view&number=11227&b_name=data_board_2
68,"동기면담 개발자 Miller 박사 특강 ""해외 정신건강 임상실천 심리적 문제 치료에서의 동기면담"" 세미나",2024.07.16,https://www.kpmhna.or.kr/sub6/6_1.php?mode=view&number=11192&b_name=data_board_2
67,광주북구정신건강복지센터 채용 공고,2024.07.08,https://www.kpmhna.or.kr/sub6/6_1.php?mode=view&number=11162&b_name=data_board_2
66,김해시정신건강복지센터 팀원 채용 공고,2024.05.28,https://www.kpmhna.or.kr/sub6/6_1.php?mode=view&number=10383&b_name=data_board_2
65,2024년 제4회 전라남도광역정신건강복지센터 인력채용 재공고,2024.05.18,https://www.kpmhna.or.kr/sub6/6_1.php?mode=view&number=10364&b_name=data_board_2
64,수원시자살예방센터 대체인력 공구,2024.05.14,https://www.kpmhna.or.kr/sub6/6_1.php?mode=view&number=10348&b_name=data_board_2
63,사단법인 사람사랑 직원 채용 공고(돌봄사랑채),2024.04.18,https://www.kpmhna.or.kr/sub6/6_1.php?mode=view&number=10283&b_name=data_board_2
62,2024년 제1차 공주시정신건강복지센터 팀원 채용 공고,2024.01.24,https://www.kpmhna.or.kr/sub6/6_1.php?mode=view&number=10059&b_name=data_board_2
61,인천동구정신건강복지센터 팀원채용 공고문,2024.01.15,https://www.kpmhna.or.kr/sub6/6_1.php?mode=view&number=10022&b_name=data_board_2
