Index,Title,Date,URL
공지,<안내>(공문) 2024년도 정회원 가입 안내,2024-01-01,https://www.kosqua.net/index.php?page=view&idx=3766&hCode=BOARD&bo_idx=1
공지,<안내> 발간도서 구매 방법,2017-01-23,https://www.kosqua.net/index.php?page=view&idx=286&hCode=BOARD&bo_idx=1
348,<안내> 11/27일(수) ~ 29일(금) 사무국 부재 안내,2024-11-26,https://www.kosqua.net/index.php?page=view&idx=3926&hCode=BOARD&bo_idx=1
347,<안내> 2024 가을학술대회 참석자 안내사항,2024-11-25,https://www.kosqua.net/index.php?page=view&idx=3923&hCode=BOARD&bo_idx=1
346,<공지> 2024 가을학술대회 Brainstorming session 신청 안내,2024-11-01,https://www.kosqua.net/index.php?page=view&idx=3913&hCode=BOARD&bo_idx=1
345,<공지> 2024 가을학술대회 셔틀버스 운행 안내,2024-10-28,https://www.kosqua.net/index.php?page=view&idx=3906&hCode=BOARD&bo_idx=1
344,<공지>(공문) 2024 가을학술대회 참가 안내(프로그램 업데...,2024-10-16,https://www.kosqua.net/index.php?page=view&idx=3895&hCode=BOARD&bo_idx=1
343,<안내> KoSQua News Letter vol.1 발간,2024-10-14,https://www.kosqua.net/index.php?page=view&idx=3892&hCode=BOARD&bo_idx=1
342,<공지> 2024 가을학술대회 초록 심사결과 발표(업데이트 1...,2024-10-14,https://www.kosqua.net/index.php?page=view&idx=3891&hCode=BOARD&bo_idx=1
341,<안내> 경주화백컨벤션센터(HICO) 인근 숙소 안내,2024-10-11,https://www.kosqua.net/index.php?page=view&idx=3890&hCode=BOARD&bo_idx=1
340,<공지> 2024년 학술논문상 수상자 발표,2024-09-23,https://www.kosqua.net/index.php?page=view&idx=3883&hCode=BOARD&bo_idx=1
339,<안내> 9/2(월) ~ 9/3(화) 사무국 부재 안내,2024-09-02,https://www.kosqua.net/index.php?page=view&idx=3863&hCode=BOARD&bo_idx=1
338,<공고>차기회장 후보자 공고(~10/21일),2024-09-02,https://www.kosqua.net/index.php?page=view&idx=3862&hCode=BOARD&bo_idx=1
337,<공지>2024년 가을 연수교육 참석자 안내사항,2024-08-28,https://www.kosqua.net/index.php?page=view&idx=3859&hCode=BOARD&bo_idx=1
336,<공지>2024년 하반기 환자안전 전담인력 보수교육 참석자...,2024-08-27,https://www.kosqua.net/index.php?page=view&idx=3857&hCode=BOARD&bo_idx=1
335,<공지>(공문) 2024 가을학술대회 초록등록 안내(사이트 게...,2024-08-19,https://www.kosqua.net/index.php?page=view&idx=3851&hCode=BOARD&bo_idx=1
334,<안내> 2024년 다같이 더가치 환자안전 캠페인 개최 안내,2024-08-06,https://www.kosqua.net/index.php?page=view&idx=3848&hCode=BOARD&bo_idx=1
333,<공지> 학회 자료 수집 안내,2024-07-18,https://www.kosqua.net/index.php?page=view&idx=3843&hCode=BOARD&bo_idx=1
332,<공지> 2024년 가을연수교육 참가 안내,2024-07-15,https://www.kosqua.net/index.php?page=view&idx=3842&hCode=BOARD&bo_idx=1
331,<공지> 2024년 하반기 환자안전 전담인력 보수교육 참가...,2024-07-15,https://www.kosqua.net/index.php?page=view&idx=3841&hCode=BOARD&bo_idx=1
330,<공지> 사무실 이전 안내,2024-06-28,https://www.kosqua.net/index.php?page=view&idx=3834&hCode=BOARD&bo_idx=1
329,<안내> 2024년 학술논문상 공모,2024-06-28,https://www.kosqua.net/index.php?page=view&idx=3833&hCode=BOARD&bo_idx=1
328,<공지> 회칙 및 세칙 개정안 공고,2024-06-25,https://www.kosqua.net/index.php?page=view&idx=3829&hCode=BOARD&bo_idx=1
327,한국의료질향상학회가 의료계와 정부에 드리는 호소문,2024-06-25,https://www.kosqua.net/index.php?page=view&idx=3828&hCode=BOARD&bo_idx=1
326,<안내> 2024년 봄학술대회 참석자 안내사항,2024-06-17,https://www.kosqua.net/index.php?page=view&idx=3823&hCode=BOARD&bo_idx=1
