Index,Title,Date,URL
공지,디지털 의료 시뮬레이션 실습 및 병원 공유 콘텐츠 교육 안내,2024.08.02,https://khaedu.or.kr/post/315?page=1
공지,이용약관 및 개인정보처리방침 개정 안내,2024.06.25,https://khaedu.or.kr/post/309?page=1
공지,2024년도 연수교육 시행 계획 안내,2024.03.20,https://khaedu.or.kr/post/276?page=1
공지,2024년 환자안전교육 시행 계획 안내,2024.01.09,https://khaedu.or.kr/post/225?page=1
공지,환자안전 전담인력 교육 이수 등록 안내,2023.05.06,https://khaedu.or.kr/post/85?page=1
공지,홈페이지 개편 오픈 안내,2023.05.06,https://khaedu.or.kr/post/71?page=1
공지,환불신청서,2023.04.28,https://khaedu.or.kr/post/56?page=1
78,2025년도 병원경영과 의료정책방향 연수교육 개최 안내,2024.12.20,https://khaedu.or.kr/post/332?page=1
77,2024년 제3차 환자안전 전담인력 보수교육 안내사항(+찾아오는 길 안내),2024.12.17,https://khaedu.or.kr/post/331?page=1
76,2025년 병원 건강검진센터 연수교육 개최 안내,2024.12.09,https://khaedu.or.kr/post/330?page=1
75,2024년 제4차 환자안전 전담인력 신규교육 안내사항(+찾아오는 길 안내),2024.12.05,https://khaedu.or.kr/post/328?page=1
74,2024년 제3차 환자안전 전담인력 보수교육 안내,2024.11.11,https://khaedu.or.kr/post/327?page=1
73,2024년 의료기관 교육담당자 역량강화 연수교육 개최 안내,2024.11.06,https://khaedu.or.kr/post/325?page=1
72,2024년 제4차 환자안전 전담인력 신규교육,2024.11.05,https://khaedu.or.kr/post/324?page=1
71,2024년 하반기 권역별 의료기관 안전보건 관리감독자교육 신청 안내,2024.10.14,https://khaedu.or.kr/post/322?page=1
70,요양병원 적정성 평가 분석 프로그램 서비스 신청 안내,2024.09.24,https://khaedu.or.kr/post/321?page=1
69,2024년 제2차 환자안전 전담인력 보수교육,2024.09.10,https://khaedu.or.kr/post/320?page=1
68,2024년 제3차 환자안전 전담인력 신규교육 안내사항(+찾아오는 길 및 숙박시설 참고 안내),2024.08.19,https://khaedu.or.kr/post/318?page=1
67,병원 중간관리자 역량강화 연수교육 개최 안내,2024.08.05,https://khaedu.or.kr/post/317?page=1
66,2024년 환자경험평가 대비 전략 중·고급 연수교육 개최 안내,2024.07.22,https://khaedu.or.kr/post/314?page=1
65,2024년 하반기 환자안전 전담인력 보수교육,2024.07.15,https://khaedu.or.kr/post/313?page=1
64,2024년 제3차 환자안전 전담인력 신규교육 안내,2024.07.15,https://khaedu.or.kr/post/311?page=1
63,디지털 의료 시뮬레이션 실습 교육 안내(상시모집),2024.07.10,https://khaedu.or.kr/post/310?page=1
62,디지털 의료 시뮬레이션 실습 교육 안내(6월)_2차,2024.06.24,https://khaedu.or.kr/post/308?page=1
61,2024년 병원 신축 및 리모델링 연수교육 접수 및 개최 안내,2024.06.17,https://khaedu.or.kr/post/307?page=1
60,디지털 의료 시뮬레이션 실습 교육 안내(6월),2024.06.10,https://khaedu.or.kr/post/305?page=1
59,2024년 병원 공감 커뮤니케이션 연수교육 개최 안내,2024.06.07,https://khaedu.or.kr/post/304?page=1
58,2024년 환자안전 전담인력 보수교육(대한환자안전학회),2024.06.05,https://khaedu.or.kr/post/303?page=2
57,2024년 제2차 환자안전 전담인력 신규교육 찾아오는 길 안내,2024.06.04,https://khaedu.or.kr/post/301?page=2
56,2024년도 병원 원가관리 연수교육 개최 안내,2024.06.04,https://khaedu.or.kr/post/300?page=2
55,디지털 의료 시뮬레이션 실습 교육 안내,2024.05.27,https://khaedu.or.kr/post/299?page=2
54,2024년 환자안전 전담인력 보수교육(대전),2024.05.10,https://khaedu.or.kr/post/298?page=2
53,의료기관 산업안전보건 관리감독자 우편통신교육 신청 안내,2024.05.08,https://khaedu.or.kr/post/297?page=2
52,2024년 제2차 환자안전 전담인력 신규교육 안내,2024.04.30,https://khaedu.or.kr/post/295?page=2
51,2024년 환자경험평가 대비 전략 연수교육 개최 안내,2024.04.29,https://khaedu.or.kr/post/294?page=2
50,2024년 환자안전 전담인력 보수교육(서울),2024.04.17,https://khaedu.or.kr/post/283?page=2
49,2024년 인사.노무관리 연수교육 개최 안내,2024.04.08,https://khaedu.or.kr/post/282?page=2
48,2024 KHC 특별초청 등록 안내,2024.04.04,https://khaedu.or.kr/post/281?page=2
47,디지털 의료 시뮬레이션 실습 교육 안내,2024.04.03,https://khaedu.or.kr/post/279?page=2
46,The 15th Korea Healthcare Congress 2024 개최 및 등록 연장 안내,2024.03.29,https://khaedu.or.kr/post/278?page=2
45,The 15th Korea Healthcare Congress 2024(2024 KHC) 학생 등록 안내,2024.03.21,https://khaedu.or.kr/post/277?page=2
44,The 15th Korea Healthcare Congress 2024(2024 KHC)개최 및 등록 재안내,2024.03.19,https://khaedu.or.kr/post/261?page=2
43,의료기관 맞춤형 교육 플랫폼 신청 안내(Medi FLEX),2024.03.13,https://khaedu.or.kr/post/260?page=2
42,2024년 상반기 환자안전 전담자 보수교육,2024.03.04,https://khaedu.or.kr/post/259?page=2
41,The 15th Korea Healthcare Congress 2024(2024 KHC) 개최 및 등록 안내,2024.02.29,https://khaedu.or.kr/post/258?page=2
40,2024년 제1차 환자안전 전담인력 신규교육 찾아오는 길 안내,2024.02.28,https://khaedu.or.kr/post/257?page=2
39,병원준법지원인 워크숍 개최 안내,2024.02.28,https://khaedu.or.kr/post/255?page=2
38,‘제13기 병원준법지원인 양성과정’ 개최 안내,2024.02.26,https://khaedu.or.kr/post/254?page=3
37,2024년 제1차 환자안전 전담인력 보수교육 찾아오는 길 안내,2024.02.13,https://khaedu.or.kr/post/253?page=3
36,병원 중간관리자 역량강화 연수교육 개최 안내,2024.02.13,https://khaedu.or.kr/post/252?page=3
35,2024년 제1차 환자안전 전담인력 신규교육 안내,2024.02.06,https://khaedu.or.kr/post/251?page=3
34,대한병원협회 병원 공유 콘텐츠 수강 안내,2024.02.05,https://khaedu.or.kr/post/250?page=3
33,병원 원무실무 연수교육 개최 안내,2024.01.29,https://khaedu.or.kr/post/249?page=3
32,2024년 제1차 환자안전 전담인력 보수교육 안내,2024.01.09,https://khaedu.or.kr/post/224?page=3
